claim_id,statement,dataset,row_selector,limitation
A-edc_n17-matched_combined_executor,"matched_combined_executor: baseline/alternative 8.9854x; descriptive interval [8.9719, 9.0772].",comparisons.csv,"{""case_id"": ""edc_n17"", ""comparison"": ""matched_combined_executor"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-hs_n18-tasklets,"tasklets: baseline/alternative 1.9628x; descriptive interval [1.8737, 2.1876].",comparisons.csv,"{""case_id"": ""hs_n18"", ""comparison"": ""tasklets"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-hs_n18-dpus,"dpus: baseline/alternative 0.8662x; descriptive interval [0.7527, 0.9172].",comparisons.csv,"{""case_id"": ""hs_n18"", ""comparison"": ""dpus"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-hs_n18-complex_fusion,"complex_fusion: baseline/alternative 1.9819x; descriptive interval [1.9526, 2.0419].",comparisons.csv,"{""case_id"": ""hs_n18"", ""comparison"": ""complex_fusion"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-hs_n18-dag_concurrency,"dag_concurrency: baseline/alternative 1.1230x; descriptive interval [1.1188, 1.1465].",comparisons.csv,"{""case_id"": ""hs_n18"", ""comparison"": ""dag_concurrency"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-hs_n18-matched_combined_executor,"matched_combined_executor: baseline/alternative 3.7843x; descriptive interval [3.7739, 3.8814].",comparisons.csv,"{""case_id"": ""hs_n18"", ""comparison"": ""matched_combined_executor"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-stress_n16_l2-tasklets,"tasklets: baseline/alternative 3.1339x; descriptive interval [3.0867, 3.2298].",comparisons.csv,"{""case_id"": ""stress_n16_l2"", ""comparison"": ""tasklets"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-stress_n16_l2-dpus,"dpus: baseline/alternative 1.0660x; descriptive interval [1.0358, 1.1915].",comparisons.csv,"{""case_id"": ""stress_n16_l2"", ""comparison"": ""dpus"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-stress_n16_l2-complex_fusion,"complex_fusion: baseline/alternative 1.8762x; descriptive interval [1.7571, 1.8928].",comparisons.csv,"{""case_id"": ""stress_n16_l2"", ""comparison"": ""complex_fusion"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-stress_n16_l2-dag_concurrency,"dag_concurrency: baseline/alternative 0.9975x; descriptive interval [0.9700, 1.0172].",comparisons.csv,"{""case_id"": ""stress_n16_l2"", ""comparison"": ""dag_concurrency"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-stress_n16_l2-matched_combined_executor,"matched_combined_executor: baseline/alternative 6.2520x; descriptive interval [6.1966, 6.3208].",comparisons.csv,"{""case_id"": ""stress_n16_l2"", ""comparison"": ""matched_combined_executor"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
F-bb84-numpy_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""bb84""}",declared grid ended; not an absolute supported-size maximum.
F-bv-numpy_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""bv""}",declared grid ended; not an absolute supported-size maximum.
F-edc-numpy_p1,Largest qualified tested point: 17 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""edc""}",declared grid ended; not an absolute supported-size maximum.
F-hs-numpy_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""hs""}",declared grid ended; not an absolute supported-size maximum.
F-qrng-numpy_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""qrng""}",declared grid ended; not an absolute supported-size maximum.
F-xor-numpy_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""numpy_p1"", ""family"": ""xor""}",declared grid ended; not an absolute supported-size maximum.
F-bb84-quest32_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""bb84""}",declared grid ended; not an absolute supported-size maximum.
F-bv-quest32_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""bv""}",declared grid ended; not an absolute supported-size maximum.
F-edc-quest32_p1,Largest qualified tested point: 17 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""edc""}",declared grid ended; not an absolute supported-size maximum.
F-hs-quest32_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""hs""}",declared grid ended; not an absolute supported-size maximum.
F-qrng-quest32_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""qrng""}",declared grid ended; not an absolute supported-size maximum.
F-xor-quest32_p1,Largest qualified tested point: 18 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p1"", ""family"": ""xor""}",declared grid ended; not an absolute supported-size maximum.
F-bb84-quest32_p8,Largest qualified tested point: 26 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""bb84""}",declared grid ended; not an absolute supported-size maximum.
F-bv-quest32_p8,Largest qualified tested point: 26 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""bv""}",declared grid ended; not an absolute supported-size maximum.
F-edc-quest32_p8,Largest qualified tested point: 25 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""edc""}",declared grid ended; not an absolute supported-size maximum.
F-hs-quest32_p8,Largest qualified tested point: 26 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""hs""}",declared grid ended; not an absolute supported-size maximum.
F-qrng-quest32_p8,Largest qualified tested point: 26 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""qrng""}",declared grid ended; not an absolute supported-size maximum.
F-xor-quest32_p8,Largest qualified tested point: 26 total qubits.,frontiers.csv,"{""arm_id"": ""quest32_p8"", ""family"": ""xor""}",declared grid ended; not an absolute supported-size maximum.
F-bb84-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 24 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""bb84""}",observed admission boundary; not an absolute supported-size maximum.
F-bv-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 24 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""bv""}",observed admission boundary; not an absolute supported-size maximum.
F-edc-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 23 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""edc""}",observed admission boundary; not an absolute supported-size maximum.
F-hs-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 24 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""hs""}",observed admission boundary; not an absolute supported-size maximum.
F-qrng-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 24 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""qrng""}",observed admission boundary; not an absolute supported-size maximum.
F-xor-upmem_d64_t24_static_dag_waves_v1_1_f32,Largest qualified tested point: 24 total qubits.,frontiers.csv,"{""arm_id"": ""upmem_d64_t24_static_dag_waves_v1_1_f32"", ""family"": ""xor""}",observed admission boundary; not an absolute supported-size maximum.
CPU-bb84,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,bb84 / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
CPU-bv,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,bv / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
CPU-edc,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,edc / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
CPU-hs,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,hs / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
CPU-qrng,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,qrng / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
CPU-xor,UPMEM had lower median job-to-state time than QuEST P8 at 0/7 mutually qualified widths.,cpu_comparison.csv,xor / quest32_p8 / job_to_state_s,"Fixed greedy D64/T24 UPMEM; QuEST is a conventional reference, not a proven SOTA optimum. Missing UPMEM points excluded from ratios, not coverage."
P6-R/U,Accepted family-balanced R/U: 1.001343x.,p6_aggregates.csv,all / R/U / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-F/U,Accepted family-balanced F/U: 1.040425x.,p6_aggregates.csv,all / F/U / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-G/U,Accepted family-balanced G/U: 1.266508x.,p6_aggregates.csv,all / G/U / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-F/R,Accepted family-balanced F/R: 1.039030x.,p6_aggregates.csv,all / F/R / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-G/R,Accepted family-balanced G/R: 1.264810x.,p6_aggregates.csv,all / G/R / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-G/F,Accepted family-balanced G/F: 1.217299x.,p6_aggregates.csv,all / G/F / session_inclusive_s,Original P6 only; no pooling with new campaign. R/U near one does not establish equivalence or justify retroactive method rejection.
P6-regressions,U was slower than G in 4/12 cells; worst G/U=0.687613x (45.43% more time for U).,p6_cells.csv,hs_test_total18_r1/4dpu_t8,Original inclusive measurement; not proof of an arithmetic slowdown or a causal attribution to one function.
QUANT,Shared-scale int8 has circuit-dependent numerical error; software compression is not physical transfer reduction.,quantization.csv,all,Software characterization and historical physical timing are distinct; no universal int8 tolerance is invented.
