module,recorded_finding,scope,disposition,source_id,claim_limit,provenance_class,input_source_id,source_row,history_url,history_sha256,synthesis_treatment
templates,84..87 percent record-construction reduction,session-local template AB,adopted,transport,not an 84..87 percent complete-job speedup,chat_context_transcription_not_newly_source_verified,mechanisms,13,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,unverified context transcription; do not use as a new measured numeric claim
native_constructor,C prepared-stage slower without eliminating boundary work,host-only feasibility,rejected,transport,no general claim Python always faster,recorded_summary_not_recomputed,mechanisms,14,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,reported historical finding; not raw-data recomputation
packed_envelope_probe,2.75..9.20x host-only synthetic probe,feasibility,prototype,transport,not physical execution speedup,chat_context_transcription_not_newly_source_verified,mechanisms,15,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,unverified context transcription; do not use as a new measured numeric claim
packed_transport,5.90..30.65 percent session-inclusive time reduction,72-attempt physical AB,adopted,transport,distinct from final v5 prepared waves,recorded_summary_not_recomputed,mechanisms,16,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,reported historical finding; not raw-data recomputation
prepared_waves,Persistent host plus packed-wave ABI-v5,composition,retained,composition,native host filename still includes v4,recorded_summary_not_recomputed,mechanisms,17,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
complex_fusion,1.9034x inclusive fresh development confirmation,confirmed cell,retained when admitted,composition,four real products remain; launch count changes,recorded_summary_not_recomputed,mechanisms,18,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
outer_k1,0.985619x inclusive; interval spans one,specialization experiment,not adopted,composition,does not exclude all possible future specializations,recorded_summary_not_recomputed,mechanisms,19,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
dag,1.214213x six-cell inclusive; 1.431726x selected confirmation,static ready cohorts,retained,composition,selected confirmation is not untouched test,recorded_summary_not_recomputed,mechanisms,20,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
residency,Stress16 D1 0.959855x inclusive,resident pair,not adopted,composition,bounded pair only; not a universal residency verdict,recorded_summary_not_recomputed,mechanisms,21,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
slicing,Stress16 D2 .608676x; D4 .780553x; EDC14 D4 1.125244x,slicing plus static scheduling,mixed,composition,not isolated slicing concurrency,recorded_summary_not_recomputed,mechanisms,22,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
composed_tasklets,Stress16 D1T1->D1T16 4.501040x inclusive,composed diagnostic,accepted,composition,not comparable by multiplying older tasklet ratios,recorded_summary_not_recomputed,mechanisms,23,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
composed_dpus,Stress16 D1T8->D4T8 1.530679x inclusive,composed diagnostic,accepted,composition,not a CPU speedup,recorded_summary_not_recomputed,mechanisms,24,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
int8,180 accepted attempts; same-policy CPU replay matched,shared-scale complex int8,optional,quantization,quantization is not compulsory,recorded_summary_not_recomputed,mechanisms,25,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/quantized_upmem_execution_diagnostic_v1.md,c128146a4150a209bef3dbe83b4362b4cca5f8753beea663c4cf7a1b6a4acf83,reported historical finding; not raw-data recomputation
int8_error,Stress18 relative L2 about 8.316 percent,int8 vs float32,negative quality result,quantization,no post-hoc universal int8 tolerance,recorded_summary_not_recomputed,mechanisms,26,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/quantized_upmem_execution_diagnostic_v1.md,c128146a4150a209bef3dbe83b4362b4cca5f8753beea663c4cf7a1b6a4acf83,reported historical finding; not raw-data recomputation
int8_topology,HS18/Stress18 best tested D4 f32 -> D2 int8,best observed route,interaction,quantization,not a global optimum,recorded_summary_not_recomputed,mechanisms,27,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/quantized_upmem_execution_diagnostic_v1.md,c128146a4150a209bef3dbe83b4362b4cca5f8753beea663c4cf7a1b6a4acf83,reported historical finding; not raw-data recomputation
pilot_path,Training 2.2314x; EDC16 2.2976x; BV18 .9963x,old pilot,noncanonical,pilot,lost raw archives; preserve limitation,chat_context_transcription_not_newly_source_verified,mechanisms,28,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_path_heuristic_v1.md,cab59b0bfaced9ef010b72bf8249cb651096ff0024995dd5d9e67b76c5d6b180,unverified context transcription; do not use as a new measured numeric claim
p6_cost,"5-term launch-aware score; final integer weights [1,2,1,1,5]",training/feedback fit,accepted,p6_model,"ranking coefficients, not runtime shares",recorded_summary_not_recomputed,mechanisms,29,https://github.com/kazulak/masters-thesis/blob/8df2ebac61bacd08309ea490309be5a8dcb943b2/thesis/implementation/thesis_results/upmem_cost_guided_path_v1/readout/model_diagnostics.json,faf666758fc44f7c3df80fec7d3e44ac23bb7359aa13b80743b2ac96fab586c6,reported historical finding; not raw-data recomputation
p6_reranking,F/R 1.039030x overall inclusive,bounded final evaluation,useful,p6_aggregates,no universal per-cell win,recorded_summary_not_recomputed,mechanisms,30,https://github.com/kazulak/masters-thesis/blob/8df2ebac61bacd08309ea490309be5a8dcb943b2/thesis/implementation/thesis_results/upmem_cost_guided_path_v1/readout/aggregates.csv,bb5ffb99c00404aaec5a7d18f42b0358c122b06c6d2f0fdb92f9a6766f2f2553,reported historical finding; not raw-data recomputation
p6_generation,"R/U 1.001343x CI [.994836,1.008509]; same path 8/12",primary bounded comparison,unresolved added benefit,p6_aggregates,not equivalence test,recorded_summary_not_recomputed,mechanisms,31,https://github.com/kazulak/masters-thesis/blob/8df2ebac61bacd08309ea490309be5a8dcb943b2/thesis/implementation/thesis_results/upmem_cost_guided_path_v1/readout/aggregates.csv,bb5ffb99c00404aaec5a7d18f42b0358c122b06c6d2f0fdb92f9a6766f2f2553,reported historical finding; not raw-data recomputation
p6_regression,HS18 D4 G/U .687613x; U about 45.43 percent more time,session-inclusive per-cell,negative result,p6_methods,opening-time effect is not proven arithmetic slowdown,recorded_summary_not_recomputed,mechanisms,32,https://github.com/kazulak/masters-thesis/blob/8df2ebac61bacd08309ea490309be5a8dcb943b2/thesis/implementation/thesis_results/upmem_cost_guided_path_v1/readout/methods.csv,3a554adb7233730bc6babee202b4283f2955067f66fd82e93400c6744076964d,reported historical finding; not raw-data recomputation
cpu_context,Historical NumPy/TN/QuEST roles distinct; new W adds matched CPU data,CPU comparison,new evidence required,sequential,never compare QuEST gate-only with UPMEM inclusive time,recorded_summary_not_recomputed,mechanisms,33,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/sequential_upmem_baseline.md,390a358bc32a52d21cd8abd920dcc91a8d504db840e9a87cceb41104ef49bb58,reported historical finding; not raw-data recomputation
